Fecha,Hora,T[°C],H[%]
11/10/2016,18:58:47,14.0,43.6
11/10/2016,18:58:54,14.2,43.4
11/10/2016,18:59:3,14.2,43.4
11/10/2016,18:59:9,14.2,43.4
11/10/2016,18:59:18,14.2,43.4
11/10/2016,18:59:24,14.2,43.6
11/10/2016,18:59:30,14.0,43.6
11/10/2016,18:59:37,14.0,43.6
11/10/2016,18:59:43,14.2,43.4
11/10/2016,18:59:49,14.2,43.6
11/10/2016,18:59:58,14.2,43.6
11/10/2016,19:0:10,14.2,43.6
11/10/2016,19:0:16,14.4,43.2
11/10/2016,19:0:28,14.4,43.2
11/10/2016,19:0:34,14.4,42.8
11/10/2016,19:0:40,14.6,42.4
11/10/2016,19:0:52,14.8,42.4
11/10/2016,19:0:58,14.8,42.4
11/10/2016,19:1:4,14.8,42.2
11/10/2016,19:1:11,14.8,42.6
11/10/2016,19:1:17,14.6,43.2
11/10/2016,19:1:28,14.4,43.4
11/10/2016,19:1:35,14.2,43.6
11/10/2016,19:1:41,14.2,43.8
11/10/2016,19:1:47,14.2,43.8
11/10/2016,19:1:56,14.4,43.4
11/10/2016,19:2:2,14.4,43.2
11/10/2016,19:2:9,14.4,43.0
11/10/2016,19:2:15,14.2,43.2
11/10/2016,19:2:21,14.2,43.2
11/10/2016,19:2:30,14.0,43.6
11/10/2016,19:2:39,14.0,43.4
11/10/2016,19:2:45,14.0,43.8
11/10/2016,19:2:54,14.0,43.6
11/10/2016,19:3:0,14.0,43.6
11/10/2016,19:3:7,14.0,43.2
11/10/2016,19:3:16,14.0,43.6
11/10/2016,19:3:22,14.0,43.6
11/10/2016,19:3:28,14.0,43.4
11/10/2016,19:3:34,14.0,43.4
11/10/2016,19:3:41,14.0,43.4
11/10/2016,19:3:47,14.0,43.4
11/10/2016,19:3:53,14.0,43.2
11/10/2016,19:4:0,14.0,43.6
11/10/2016,19:4:8,14.0,43.4
11/10/2016,19:4:15,14.0,43.6
11/10/2016,19:4:21,14.0,43.4
11/10/2016,19:4:27,14.0,43.6
11/10/2016,19:4:33,14.0,43.6
11/10/2016,19:4:42,14.2,43.6
11/10/2016,19:4:49,14.4,43.6
11/10/2016,19:4:55,14.4,43.6
11/10/2016,19:5:1,14.4,43.6
11/10/2016,19:5:7,14.4,43.6
11/10/2016,19:5:14,14.2,43.8
11/10/2016,19:5:20,14.0,43.8
11/10/2016,19:5:26,14.0,44.0
11/10/2016,19:5:33,14.0,44.0
11/10/2016,19:5:39,14.0,43.8
11/10/2016,19:5:45,14.0,43.8
11/10/2016,19:5:52,14.0,43.6
11/10/2016,19:5:58,14.0,43.4
11/10/2016,19:6:4,14.0,43.2
11/10/2016,19:6:10,14.2,43.4
11/10/2016,19:6:17,14.2,43.4
11/10/2016,19:6:23,14.2,43.6
11/10/2016,19:6:29,14.2,44.0
11/10/2016,19:6:36,14.2,44.2
11/10/2016,19:6:42,14.0,44.2
11/10/2016,19:6:48,14.0,44.2
11/10/2016,19:6:54,14.0,44.2
11/10/2016,19:7:1,14.0,44.0
11/10/2016,19:7:7,14.0,43.8
11/10/2016,19:7:16,14.2,43.8
11/10/2016,19:7:22,14.2,43.8
11/10/2016,19:7:28,14.2,43.6
11/10/2016,19:7:35,14.2,43.6
11/10/2016,19:7:44,14.2,43.8
11/10/2016,19:7:50,14.0,43.6
11/10/2016,19:7:56,14.0,43.4
11/10/2016,19:8:2,14.2,43.4
11/10/2016,19:8:9,14.2,43.4
11/10/2016,19:8:15,14.4,43.2
11/10/2016,19:8:21,14.4,43.4
11/10/2016,19:8:28,14.4,43.4
11/10/2016,19:8:34,14.4,43.6
11/10/2016,19:8:40,14.4,43.6
11/10/2016,19:8:49,14.2,43.8
11/10/2016,19:8:55,14.2,43.6
11/10/2016,19:9:4,14.2,43.6
